fpts,player,team,bye,pos,adp
106,Green Bay Packers,DST,6,DST,230
52.3,Trey Lance,SF,9,QB,230
63,Jerome Ford,CLE,5,RB,197.5
100,New York Giants,DST,13,DST,199
108,Kansas City Chiefs,DST,10,DST,232.7
63.3,Chase Brown,CIN,7,RB,201
221.9,Ryan Tannehill,TEN,7,QB,206.5
95.4,John Metchie III,HOU,7,WR,206.5
106.3,Van Jefferson,LAR,10,WR,207.5
99.8,Cincinnati Bengals,DST,7,DST,238
107.4,Washington Commanders,DST,14,DST,238
82.8,Parris Campbell,NYG,13,WR,208
26,Justyn Ross,KC,10,WR,209
65.6,Marvin Mims Jr.,DEN,9,WR,211
115.1,Marquez Valdes-Scantling,KC,10,WR,211.5
113.3,Brett Maher,DEN,9,K,216
119,Graham Gano,NYG,13,K,243.7
191.9,Desmond Ridder,ATL,11,QB,219
104.4,Jayden Reed,GB,6,WR,220.5
65.1,Ty Chandler,MIN,13,RB,221
102.2,Isaiah Hodgins,NYG,13,WR,221.5
97.2,Rashid Shaheed,NO,11,WR,223
115,Nick Folk,NE,11,K,148
112.9,Matt Gay,IND,11,K,249.7
93.3,Chicago Bears,DST,13,DST,231.5
111.3,Hunter Renfrow,LV,13,WR,228.5
109.5,Curtis Samuel,WAS,14,WR,228.5
113.7,Greg Zuerlein,NYJ,7,K,228.5
109.1,Cleveland Browns,DST,5,DST,229.5
69.4,Joshua Kelley,LAC,5,RB,230.5
98,Atlanta Falcons,DST,11,DST,232.5
103.7,Minnesota Vikings,DST,13,DST,232
187.2,Baker Mayfield,TB,5,QB,234
71.8,Wan'Dale Robinson,NYG,13,WR,234
111.1,Matt Prater,ARI,14,K,182
76.8,Chase Edmonds,TB,5,RB,245
87.7,Mecole Hardman Jr.,NYJ,7,WR,250
87.7,Chase Claypool,CHI,13,WR,250.5
20.4,Cole Beasley,NYG,13,WR,203
64.6,Kyren Williams,LAR,10,RB,205
54.4,Isaiah Likely,BAL,13,TE,252.5
47.4,Zach Evans,LAR,10,RB,254
101.9,Tampa Bay Buccaneers,DST,5,DST,254.5
114.8,Wil Lutz,NO,11,K,255
56.6,Josh Downs,IND,11,WR,255.5
113.9,Chris Boswell,PIT,6,K,214
0,Michael Badgley,,,K,215
84.4,Noah Fant,SEA,5,TE,257.5
124.9,Greg Joseph,MIN,13,K,258.5
85.9,Darius Slayton,NYG,13,WR,258.5
54.3,Richie James Jr.,KC,10,WR,259
99.3,Carolina Panthers,DST,7,DST,259.5
97.2,Robert Woods,HOU,7,WR,259.5
59.3,Sterling Shepard,NYG,13,WR,223
111.3,DeVante Parker,NE,11,WR,261.5
118.9,Riley Patterson,DET,9,K,265
77.3,Jelani Woods,IND,11,TE,263
99.9,Los Angeles Rams,DST,10,DST,230
40.3,Puka Nacua,LAR,10,WR,274
103.6,Detroit Lions,DST,9,DST,265
71.6,Colt McCoy,ARI,14,QB,232
28,DeWayne McBride,MIN,13,RB,274.5
109.2,Indianapolis Colts,DST,11,DST,234
76.9,Kyle Trask,TB,5,QB,234
0,Robbie Gould,,,K,235
72.3,Joshua Palmer,LAC,5,WR,267
39.5,Gardner Minshew II,IND,11,QB,238
67.5,Trey McBride,ARI,14,TE,268.5
114.4,Eddy Pineiro,CAR,7,K,239
26.8,Davis Mills,HOU,7,QB,239
0,Israel Abanikanda,NYJ,7,RB,277.5
33,Mike White,MIA,10,QB,245
81.9,Cade Otton,TB,5,TE,272
33.9,Deon Jackson,IND,11,RB,246
64.4,Michael Wilson,ARI,14,WR,272.5
55,Will Levis,TEN,7,QB,247
29.9,Evan Hull,IND,11,RB,273
38,Foster Moreau,NO,11,TE,248
85,Allen Robinson II,PIT,6,WR,273.5
32.4,Pierre Strong Jr.,NE,11,RB,274
74.9,Logan Thomas,WAS,14,TE,274.5
74,Khalil Shakir,BUF,13,WR,283.5
