fpts,player,team,bye,pos,adp
154.8,Rondale Moore,ARI,14,WR,177.8
142,Romeo Doubs,GB,6,WR,177.8
109.8,Jaylen Warren,PIT,6,RB,178.8
106,Green Bay Packers,DST,6,DST,180.3
93.7,Tank Bigsby,JAC,9,RB,182
52.5,Deuce Vaughn,DAL,7,RB,185
215.1,Kyler Murray,ARI,14,QB,185.8
131.4,K.J. Osborn,MIN,13,WR,186.8
99.8,Cincinnati Bengals,DST,7,DST,187.3
142.9,Michael Gallup,DAL,7,WR,187.3
250.8,Jordan Love,GB,6,QB,187.8
141.2,DJ Chark Jr.,CAR,7,WR,188.3
118.5,Brandon McManus,JAC,9,K,190.3
104.4,Kenneth Gainwell,PHI,10,RB,191.8
97,Dawson Knox,BUF,13,TE,194
91.6,Mike Gesicki,NE,11,TE,194.5
97.6,D'Onta Foreman,CHI,13,RB,161
112.9,Matt Gay,IND,11,K,195.3
63.8,Kendre Miller,NO,11,RB,165.3
105,Zach Ertz,ARI,14,TE,199.5
98.9,Denver Broncos,DST,9,DST,199.5
85.1,Cordarrelle Patterson,ATL,11,RB,200
0,Leonard Fournette,,,RB,200
220.5,C.J. Stroud,HOU,7,QB,201
73.8,Taysom Hill,NO,11,TE,201.3
100.4,Jacksonville Jaguars,DST,9,DST,202
104.7,Seattle Seahawks,DST,5,DST,202.3
107.4,Washington Commanders,DST,14,DST,202.3
118.2,Cameron Dicker,LAC,5,K,202.8
136.3,Marquez Valdes-Scantling,KC,10,WR,203.8
113.7,Greg Zuerlein,NYJ,7,K,172.7
92.1,Michael Mayer,LV,13,TE,204.3
100.6,Rashee Rice,KC,10,WR,204.5
80.8,Roschon Johnson,CHI,13,RB,206.8
75,Clyde Edwards-Helaire,KC,10,RB,207.5
0,Kareem Hunt,,,RB,209.5
109.3,Irv Smith Jr.,CIN,7,TE,210.3
68.8,Tank Dell,HOU,7,WR,213
116.1,Jake Moody,SF,9,K,213
109.1,Cleveland Browns,DST,5,DST,186
226.2,Jimmy Garoppolo,LV,13,QB,215
87.1,Gus Edwards,BAL,13,RB,215.3
85.1,Luke Musgrave,GB,6,TE,217.8
134,Jonathan Mingo,CAR,7,WR,191.3
115,Nick Folk,NE,11,K,194
127,Donovan Peoples-Jones,CLE,5,WR,194
102.7,Parris Campbell,NYG,13,WR,220
117.4,Jason Sanders,MIA,10,K,242.5
100,New York Giants,DST,13,DST,196.7
207.2,Sam Howell,WAS,14,QB,222.3
91.6,Jake Ferguson,DAL,7,TE,222.3
102,Tyler Conklin,NYJ,7,TE,222.8
107.2,Hunter Henry,NE,11,TE,222.8
30.2,Justyn Ross,KC,10,WR,223
141.6,Hunter Renfrow,LV,13,WR,223.5
106.7,Hayden Hurst,CAR,7,TE,223.5
105.7,Chuba Hubbard,CAR,7,RB,203.3
114.4,Eddy Pineiro,CAR,7,K,163
217.8,Mac Jones,NE,11,QB,231
76.9,Tyjae Spears,TEN,7,RB,215.3
103.6,Detroit Lions,DST,9,DST,215.3
124.9,Greg Joseph,MIN,13,K,217.3
105.4,Chase Claypool,CHI,13,WR,239
53.5,Zamir White,LV,13,RB,181.5
104.1,Los Angeles Chargers,DST,5,DST,220.3
99.3,Carolina Panthers,DST,7,DST,220.7
112.9,Alec Pierce,IND,11,WR,221.3
101.9,Tampa Bay Buccaneers,DST,5,DST,221.7
221.9,Ryan Tannehill,TEN,7,QB,242.8
103.7,Minnesota Vikings,DST,13,DST,225.3
117,John Metchie III,HOU,7,WR,225.3
114.8,Wil Lutz,NO,11,K,226.7
133.4,Curtis Samuel,WAS,14,WR,245
113.9,Chris Boswell,PIT,6,K,192.5
68.3,Jerome Ford,CLE,5,RB,194.5
125.8,Isaiah Hodgins,NYG,13,WR,229.7
71.8,Chase Brown,CIN,7,RB,230
43.7,Michael Carter,NYJ,7,RB,232.3
128.4,Jayden Reed,GB,6,WR,232.7
106.2,Noah Fant,SEA,5,TE,249.8
93.3,Chicago Bears,DST,13,DST,236.3
118.9,Riley Patterson,DET,9,K,206
127.5,Van Jefferson,LAR,10,WR,209
113.3,Brett Maher,DEN,9,K,213
99.9,Los Angeles Rams,DST,10,DST,213.5
72,Ty Chandler,MIN,13,RB,216
113.3,Cade York,CLE,5,K,244
79,Marvin Mims Jr.,DEN,9,WR,244.3
115.8,Rashid Shaheed,NO,11,WR,246
187.2,Baker Mayfield,TB,5,QB,247
90.1,Las Vegas Raiders,DST,13,DST,223
76.2,Joshua Kelley,LAC,5,RB,224.5
134.2,DeVante Parker,NE,11,WR,250.7
34.2,Darnell Washington,PIT,6,TE,253
103.8,Darius Slayton,NYG,13,WR,254.3
123.3,Robert Woods,HOU,7,WR,257
105.8,Mecole Hardman Jr.,NYJ,7,WR,286.5
0,Michael Badgley,,,K,285
86.9,Chase Edmonds,TB,5,RB,238.5
99.8,Tennessee Titans,DST,7,DST,239
115.4,Chase McLaughlin,TB,5,K,240.5
52.3,Trey Lance,SF,9,QB,241
66.4,Isaiah Likely,BAL,13,TE,260
109.2,Indianapolis Colts,DST,11,DST,243
111.1,Matt Prater,ARI,14,K,243.5
68.4,Josh Downs,IND,11,WR,244.5
97.8,Arizona Cardinals,DST,14,DST,244.5
66.5,Richie James Jr.,KC,10,WR,272.3
72.7,Kyren Williams,LAR,10,RB,200
32.5,Evan Hull,IND,11,RB,249
52.3,Zach Evans,LAR,10,RB,250.5
89.3,Wan'Dale Robinson,NYG,13,WR,252.5
191.9,Desmond Ridder,ATL,11,QB,268.7
103.5,Houston Texans,DST,7,DST,268.7
58.3,Latavius Murray,BUF,13,RB,255.5
98,Atlanta Falcons,DST,11,DST,275
116.1,Cairo Santos,CHI,13,K,222
32.8,Kyle Juszczyk,SF,9,RB,260.5
0,Tom Brady,,,QB,226
